PLAYERS,LEAGUE,POSITION,TEAM,MATCHES_PLAYED,MINUTES_PLAYED,DISTANCE_COVERED,DISTANCE_COVERED_IN_POSSESSION,DISTANCE_COVERED_NOT_IN_POSSESSION,TOP_SPEED,TOTAL_GOALS_SCORED,OFFSIDES,SOLO_RUNS_INTO_AREA,LOST_BALLS,DELIVERIES_IN_PENALTY_AREA,TACKLES,TACKLES_SUFFERED,TACKLES_WON,ATTEMPTED_CLEARANCES,CLEARANCE_RATE,SAVES,BLOCKS,RECOVERED_BALLS,YELLOW_CARDS,SECOND_YELLOW_CARD_AND_RED_CARD,RED_CARDS,FOULS_COMMITTED,FOULS_SUFFERED,FOULS_CAUSING_A_PENALTY,ASSISTS,PENALTIES_SCORED,GOALS_SCORED_WITH_THE_LEFT_FOOT,GOALS_SCORED_WITH_THE_RIGHT_FOOT,HEADED_GOALS,SHOTS,ATTEMPTS_ON_TARGET,ATTEMPTS_OFF-TARGET,WOODWORK,TOTAL_PASSES,PASSES_COMPLETED,PASSES_COMPLETED_PERCENT,CROSSES,CROSSES_COMPLETED,CROSSES_COMPLETED_PERCENT,CORNERS,THROW-INS,THROW-INS_COMPLETED
Thomas MUELLER,STAR,M,Germany,7,682,84,34.5,26.4,30.5,5,8,9,72,12,8,23,2,3,1,0,1,11,0,0,0,14,17,0,3,1,1,4,0,16,10,6,0,319,221,0.69,24,5,0.21,1,10,10
Toni KROOS,WC Players,M,Germany,7,690,82.6,34.3,28,29.8,2,0,1,58,15,5,15,1,2,0.5,0,0,20,0,0,0,7,15,0,4,0,1,1,0,16,11,5,0,633,537,0.85,42,13,0.31,30,3,2
Javier MASCHERANO,WC Players,M,Argentina,7,720,81.2,29.5,30.7,30.3,,,,,,,,10,8,1,0,6,49,1,0,0,9,17,0,,,,,,4,4,0,0,626,536,0.86,3,0,,0,3,3
Philipp LAHM,WC Players,D,Germany,7,690,81,34.6,27.2,28.7,,,,,,,,4,7,0.86,0,5,39,1,0,0,3,9,0,,,,,,3,3,0,0,651,562,0.86,13,6,0.46,0,36,32
Benedikt HOEWEDES,WC Players,D,Germany,7,690,80.4,32.1,27.2,30.5,,,,,,,,5,16,0.88,0,3,44,2,0,0,10,6,0,,,,,,4,3,1,1,383,302,0.79,2,0,,0,67,45
Arjen ROBBEN,STAR,M,Netherlands,7,690,79.3,31,25.8,32.2,3,5,19,49,19,2,31,0,0,,0,0,10,1,0,0,10,28,0,1,0,3,0,0,20,19,1,0,288,201,0.7,38,15,0.39,21,16,12
Pablo ZABALETA,WC Players,D,Argentina,7,720,79.1,30.2,28.3,29.6,,,,,,,,6,12,1,0,1,32,0,0,0,8,5,0,,,,,,1,0,1,0,396,310,0.78,11,1,0.09,0,85,62
Ezequiel GARAY,WC Players,D,Argentina,7,720,76.1,26.2,27.6,31.4,,,,,,,,1,21,0.86,0,3,52,1,0,0,8,1,0,,,,,,5,1,4,0,388,338,0.87,0,0,,0,0,0
Daley BLIND,WC Players,D,Netherlands,7,670,75.7,27.5,28.2,27.5,1,0,1,39,4,15,5,6,8,0.88,0,0,34,1,0,0,10,5,0,2,0,0,1,0,3,1,2,0,428,351,0.82,8,3,0.38,0,45,26
Ron VLAAR,WC Players,D,Netherlands,7,690,74.6,25.2,28.5,33,,,,,,,,5,29,0.87,0,5,42,0,0,0,5,3,0,,,,,,4,1,3,0,357,297,0.83,0,0,,0,2,1
Mesut OEZIL,WC Players,M,Germany,7,655,73.2,31.6,23.6,32,1,3,8,66,14,3,19,2,0,,0,0,7,0,0,0,4,8,0,1,0,1,0,0,10,7,3,0,401,315,0.79,14,2,0.14,6,7,6
Marcos ROJO,WC Players,D,Argentina,6,615,72.7,27.9,25.5,31.8,1,0,1,69,7,12,8,5,12,0.84,0,2,46,2,0,0,7,6,0,0,0,0,1,0,8,4,4,0,366,264,0.72,26,5,0.19,0,51,41
Stefan DE VRIJ,WC Players,D,Netherlands,7,677,71.5,23.9,27.6,28.5,1,1,0,49,3,17,3,5,12,0.92,0,4,58,1,0,0,10,2,1,0,0,1,0,0,5,2,3,1,430,351,0.82,2,0,,0,2,1
OSCAR,WC Players,M,Brazil,7,640,70.6,26,23.8,27.8,2,2,5,67,12,30,24,11,6,1,0,0,23,1,0,0,9,13,0,1,0,0,2,0,14,11,3,0,327,221,0.68,25,5,0.2,7,6,5
Jerome BOATENG,WC Players,D,Germany,7,646,70.2,27.4,24.3,31.1,,,,,,,,3,18,0.95,0,3,51,0,0,0,4,3,0,,,,,,1,1,0,0,461,379,0.82,13,5,0.38,0,16,9
Wesley SNEIJDER,WC Players,M,Netherlands,6,585,69.6,27.3,24.7,30.2,1,0,3,56,10,5,10,1,0,,0,0,17,0,0,0,7,6,0,1,0,0,1,0,18,12,6,2,335,242,0.72,25,3,0.12,9,5,4
Georginio WIJNALDUM,WC Players,M,Netherlands,7,550,64.9,23.4,23.3,28.7,1,1,1,28,2,5,5,1,5,1,0,0,20,0,0,0,6,9,0,0,0,0,1,0,4,2,2,0,255,213,0.84,1,1,1,0,3,2
Gonzalo HIGUAIN,WC Players,F,Argentina,7,571,63.6,25.1,19.2,33.1,1,4,2,40,4,4,10,2,4,0.5,0,0,5,0,0,0,5,6,0,1,0,0,1,0,13,6,7,1,157,118,0.75,3,0,,0,2,0
Bastian SCHWEINSTEIGER,WC Players,M,Germany,6,505,63.2,26.1,20.4,29.2,,,,,,,,2,9,1,0,2,31,2,0,0,12,16,0,,,,,,6,3,3,0,467,412,0.88,7,2,0.29,0,2,2
DAVID LUIZ,WC Players,D,Brazil,7,660,63.2,21.8,21.5,29.1,2,0,0,55,5,15,4,4,18,0.84,0,4,44,0,0,0,12,11,0,1,0,1,1,0,9,7,2,0,391,300,0.77,5,1,0.2,0,0,0
LUIZ GUSTAVO,WC Players,M,Brazil,6,526,62.9,22.4,22.9,31.4,,,,,,,,8,8,0.63,0,1,42,2,0,0,15,14,0,,,,,,3,2,1,0,325,269,0.83,4,1,0.25,0,1,0
Lionel MESSI,STAR,F,Argentina,7,693,62.7,26,18.8,30.3,4,3,8,71,26,7,26,0,0,,0,0,9,0,0,0,6,18,0,1,0,4,0,0,22,10,12,0,356,242,0.68,31,9,0.29,14,2,2
Robin VAN PERSIE,WC Players,F,Netherlands,6,548,62.3,24.9,18.8,30.2,4,12,2,39,1,1,7,0,6,0.5,0,1,4,2,0,0,18,7,0,0,1,3,0,1,16,13,3,1,141,83,0.59,3,0,,0,2,1
Celso BORGES,WC Players,M,Costa Rica,5,498,60.4,17.4,24.5,28.5,,,,,,,,0,8,0.75,0,1,21,0,0,0,4,2,0,,,,,,4,2,2,0,200,161,0.81,1,0,,1,1,0
MARCELO,WC Players,D,Brazil,6,570,59.7,21.3,20.7,30.5,,,,,,,,6,4,1,0,1,35,0,0,0,10,12,0,,,,,,7,3,4,0,379,291,0.77,15,3,0.2,0,47,34
Dirk KUYT,WC Players,F,Netherlands,5,509,58.9,20.7,20.4,29.9,,,,,,,,0,8,0.88,0,0,22,0,0,0,4,0,0,,,,,,4,2,2,0,346,247,0.71,20,2,0.1,0,34,26
Bryan RUIZ,WC Players,F,Costa Rica,5,494,57.4,16.8,21.6,29.6,2,0,0,38,4,3,9,0,4,1,0,1,12,1,0,0,12,10,0,0,0,1,0,1,5,3,2,0,202,158,0.78,6,1,0.17,3,1,1
Junior DIAZ,WC Players,D,Costa Rica,5,510,56.2,15.4,22.7,33.8,,,,,,,,2,9,0.89,0,1,17,1,0,0,8,10,1,,,,,,,,,,239,155,0.65,8,2,0.25,0,57,30
Mats HUMMELS,WC Players,D,Germany,6,509,55.7,21.1,20.1,32.3,2,0,0,36,0,14,0,5,10,0.8,0,5,47,0,0,0,4,2,0,0,0,0,0,2,3,3,0,0,345,281,0.81,1,0,,0,1,1
Marouane FELLAINI,WC Players,M,Belgium,5,415,55.4,18.9,19.5,30.3,1,7,2,34,1,8,4,2,3,1,0,0,15,0,0,0,19,4,0,0,0,0,0,1,7,2,5,0,202,146,0.72,1,0,,0,2,2
Michael BRADLEY,STAR,M,USA,4,390,54.7,19,21.2,30.9,,,,,,,,1,2,1,0,0,9,0,0,0,8,3,0,,,,,,5,3,2,0,295,246,0.83,6,2,0.33,1,2,2
Giancarlo GONZALEZ,WC Players,D,Costa Rica,5,510,54.4,13.9,22.9,30.5,,,,,,,,3,17,0.77,0,6,37,2,0,0,4,4,0,,,,,,5,0,5,0,182,137,0.75,0,0,,0,0,0
Daniel VAN BUYTEN,WC Players,D,Belgium,5,480,52.7,17.3,19.3,31.6,,,,,,,,1,17,1,0,8,41,0,0,0,3,4,0,,,,,,5,3,2,0,279,234,0.84,1,0,,0,3,2
Marcelo DIAZ,WC Players,M,Chile,4,390,52.2,20.2,17.7,28,,,,,,,,2,5,1,0,0,19,0,0,0,5,2,0,,,,,,6,1,5,0,240,202,0.84,12,3,0.25,5,0,0
Thiago SILVA,WC Players,D,Brazil,6,570,50.7,15.7,17.1,31.6,1,0,0,39,1,9,2,2,23,0.66,0,7,37,3,0,0,5,6,1,1,0,1,0,0,2,2,0,0,302,254,0.84,0,0,,0,0,0
Bruno MARTINS INDI,WC Players,D,Netherlands,6,458,50.4,17.4,19.7,30.3,,,,,,,,2,3,0.67,0,2,28,2,0,0,11,3,0,,,,,,,,,,309,276,0.89,2,0,,0,7,6
Kevin DE BRUYNE,WC Players,M,Belgium,4,390,50.3,18.5,17,31,1,2,0,44,9,5,3,2,0,,0,0,16,0,0,0,4,1,0,2,0,0,1,0,10,7,3,0,233,164,0.7,29,7,0.24,17,13,10
Blaise MATUIDI,WC Players,M,France,5,427,50.1,18.8,17.5,31.2,1,0,1,30,8,10,6,1,2,1,0,0,15,1,0,0,9,9,0,0,0,1,0,0,8,5,3,1,261,217,0.83,9,0,,0,1,0
Yeltsin TEJEDA,WC Players,M,Costa Rica,5,395,50,14.6,20.5,31.2,,,,,,,,5,5,1,0,2,23,1,0,0,6,2,0,,,,,,,,,,193,151,0.78,1,0,,0,0,0
NEYMAR,WC Players,F,Brazil,5,457,49.9,18.5,15.9,31.8,4,3,4,62,16,6,35,3,0,,0,1,16,1,0,0,8,18,0,1,1,1,3,0,18,13,5,0,218,137,0.63,33,13,0.39,23,4,4
Jermaine JONES,WC Players,M,USA,4,390,47.6,15.1,18.9,31.6,1,0,1,51,3,9,14,2,4,0.25,0,0,9,1,0,0,8,11,0,0,0,0,1,0,10,6,4,0,173,112,0.65,4,1,0.25,0,1,0
Karim BENZEMA,WC Players,F,France,5,450,47.4,18.1,14.8,29.1,3,3,5,37,15,1,9,1,1,1,0,0,3,0,0,0,2,4,0,2,1,0,3,0,32,25,7,1,147,113,0.77,8,4,0.5,1,1,0
